Category_ID,Category_Name,Category_Description,Category_Image
1,Drama,"Glaucoma secondary to other eye disorders, bilateral",http://dummyimage.com/231x100.png/5fa2dd/ffffff
2,Comedy|Crime,"Other infective (teno)synovitis, right hip",http://dummyimage.com/171x100.png/5fa2dd/ffffff
3,Comedy|Crime|Drama|Western,"Partial loss of teeth, unspecified cause, unspecified class",http://dummyimage.com/156x100.png/dddddd/000000
4,Action|Comedy|Drama,Wegener's granulomatosis without renal involvement,http://dummyimage.com/208x100.png/dddddd/000000
5,Action|Adventure,"Fx unsp prt of nk of l femr, 7thQ",http://dummyimage.com/222x100.png/ff4444/ffffff
6,Animation|Children|Comedy|Musical,"Nondisplaced transcondylar fracture of right humerus, init",http://dummyimage.com/200x100.png/dddddd/000000
7,Action|Adventure|Animation|Crime|Fantasy,Fall due to bumping against object,http://dummyimage.com/227x100.png/dddddd/000000
8,Film-Noir|Thriller,"Burn unsp degree of unsp site left lower limb, except ank/ft",http://dummyimage.com/250x100.png/ff4444/ffffff
9,Comedy|Drama|Romance,"Disp fx of r tibial tuberosity, 7thM",http://dummyimage.com/100x100.png/dddddd/000000
10,Animation|Children|Drama|Musical|Romance,"Unspecified sprain of right index finger, sequela",http://dummyimage.com/235x100.png/5fa2dd/ffffff
11,Animation|Children|Comedy|Romance,"Nondisp fx of neck of third MC bone, l hand, init for opn fx",http://dummyimage.com/208x100.png/cc0000/ffffff
12,Comedy|Drama,"Pnctr w/o fb of l little finger w damage to nail, sequela",http://dummyimage.com/227x100.png/cc0000/ffffff
13,Comedy,"Myositis ossificans progressiva, left thigh",http://dummyimage.com/113x100.png/5fa2dd/ffffff
14,Animation|Children|Drama|Fantasy|IMAX,"Laceration w/o fb of left cheek and TMJ area, sequela",http://dummyimage.com/129x100.png/ff4444/ffffff
15,Drama,Abrasion of right hand,http://dummyimage.com/199x100.png/dddddd/000000
16,Drama,"Poisoning by tricyclic antidepressants, self-harm, sequela",http://dummyimage.com/153x100.png/ff4444/ffffff
17,Action|Horror|Sci-Fi|Thriller,Open wound of nose,http://dummyimage.com/240x100.png/ff4444/ffffff
18,Comedy|Fantasy,"Unsp inj unsp musc/fasc/tend at wrs/hnd lv, unsp hand, init",http://dummyimage.com/129x100.png/cc0000/ffffff
19,Drama,"Burn of first degree of unspecified thigh, sequela",http://dummyimage.com/203x100.png/cc0000/ffffff
20,Comedy|Romance,Major laceration of pancreas,http://dummyimage.com/126x100.png/5fa2dd/ffffff
21,Documentary,"Assault by other larger firearm discharge, subs encntr",http://dummyimage.com/198x100.png/dddddd/000000
22,Drama,"Sltr-haris Type III physl fx low end l tibia, 7thD",http://dummyimage.com/138x100.png/5fa2dd/ffffff
23,Sci-Fi,"Poisoning by local anesthetics, intentional self-harm, subs",http://dummyimage.com/184x100.png/5fa2dd/ffffff
24,Comedy|Drama|Mystery|Romance,"Inj l int crtd,intcr w LOC >24 hr w/o ret consc w surv, sqla",http://dummyimage.com/209x100.png/cc0000/ffffff
25,Comedy|Horror,"Pathological fracture, unspecified hand, sequela",http://dummyimage.com/212x100.png/dddddd/000000
26,Thriller,"Pnctr w/o fb of right great toe w damage to nail, sequela",http://dummyimage.com/125x100.png/cc0000/ffffff
27,Comedy,"Nondisp fx of base of nk of unsp femr, 7thR",http://dummyimage.com/203x100.png/5fa2dd/ffffff
28,Drama|Sci-Fi,Other disturbances of skin sensation,http://dummyimage.com/126x100.png/dddddd/000000
29,Comedy|Drama|Horror,Other chronic nonsuppurative otitis media,http://dummyimage.com/177x100.png/dddddd/000000
30,(no genres listed),"Poisoning by other antidepressants, assault, init encntr",http://dummyimage.com/220x100.png/cc0000/ffffff
31,Sci-Fi|Thriller,"Poisoning by alpha-adrenocpt antagonists, undetermined, init",http://dummyimage.com/152x100.png/dddddd/000000
32,Drama,"Other dislocation of right ulnohumeral joint, init encntr",http://dummyimage.com/244x100.png/cc0000/ffffff
33,Drama,"Posterior dislocation of left sternoclavicular joint, init",http://dummyimage.com/225x100.png/ff4444/ffffff
34,Drama|Thriller,"Assault by smoke, fire and flames, sequela",http://dummyimage.com/226x100.png/cc0000/ffffff
35,Drama,"Nondisp longitud fx l patella, 7thN",http://dummyimage.com/101x100.png/ff4444/ffffff
36,Drama|Sci-Fi,"Other superficial bite of ankle, unsp ankle, init encntr",http://dummyimage.com/222x100.png/dddddd/000000
37,Comedy|Drama,"Spontaneous rupture of flexor tendons, unspecified forearm",http://dummyimage.com/107x100.png/5fa2dd/ffffff
38,Crime|Drama,Adverse effect of unsp drug/meds/biol subst,http://dummyimage.com/217x100.png/dddddd/000000
39,Action|Drama,"Contact with workbench tool, initial encounter",http://dummyimage.com/198x100.png/cc0000/ffffff
40,Action|Crime|Drama,"Other secondary osteonecrosis, left fibula",http://dummyimage.com/240x100.png/ff4444/ffffff
41,Comedy|Drama|Romance,"Disp fx of unsp ulna styloid pro, 7thF",http://dummyimage.com/119x100.png/ff4444/ffffff
42,Drama,Oth parlyt synd fol ntrm subarach hemor aff left dom side,http://dummyimage.com/229x100.png/5fa2dd/ffffff
43,Comedy,"Toxic effect of insecticides, accidental, sequela",http://dummyimage.com/129x100.png/5fa2dd/ffffff
44,Drama,"Oth nondisp fx of lower end of left humerus, init for opn fx",http://dummyimage.com/215x100.png/5fa2dd/ffffff
45,Drama|Romance,"Partial traumatic amputation of unsp breast, init encntr",http://dummyimage.com/159x100.png/ff4444/ffffff
46,Comedy|Drama,"Subluxation of proximal interphalangeal joint of thmb, subs",http://dummyimage.com/169x100.png/cc0000/ffffff
47,Drama,"Superficial foreign body, right knee, initial encounter",http://dummyimage.com/245x100.png/ff4444/ffffff
48,Horror|Thriller,Music hall as the place of occurrence of the external cause,http://dummyimage.com/180x100.png/ff4444/ffffff
49,Comedy|Drama|Romance,"Toxic effect of unsp noxious sub eaten as food, slf-hrm",http://dummyimage.com/248x100.png/cc0000/ffffff
50,Comedy|Crime|Drama,"Osteophyte, left knee",http://dummyimage.com/177x100.png/5fa2dd/ffffff
51,Action|Comedy|Crime|Drama|Thriller,"Infective myositis, right ankle",http://dummyimage.com/106x100.png/5fa2dd/ffffff
52,Comedy,"Infections of urethra in pregnancy, third trimester",http://dummyimage.com/202x100.png/5fa2dd/ffffff
53,Children|Drama,"Unsp fracture of right wrs/hnd, subs for fx w routn heal",http://dummyimage.com/186x100.png/cc0000/ffffff
54,Drama,"Explosion on board other powered watercraft, sequela",http://dummyimage.com/119x100.png/dddddd/000000
55,Drama|Romance,Crushing injury of unspecified elbow,http://dummyimage.com/250x100.png/ff4444/ffffff
56,Comedy|Romance,"Milt op involving fragments from munitions, civilian, subs",http://dummyimage.com/172x100.png/5fa2dd/ffffff
57,Drama,"Contact with knife, sequela",http://dummyimage.com/179x100.png/5fa2dd/ffffff
58,Action|Comedy|Crime,"Unspecified dislocation of right wrist and hand, init encntr",http://dummyimage.com/187x100.png/5fa2dd/ffffff
59,Comedy,Major laceration of pulmonary blood vessels,http://dummyimage.com/206x100.png/cc0000/ffffff
60,Children|Comedy|Fantasy|Romance,"Stable burst fracture of T11-T12 vertebra, init for clos fx",http://dummyimage.com/155x100.png/dddddd/000000
61,Drama|War,"Myositis ossificans progressiva, other site",http://dummyimage.com/189x100.png/5fa2dd/ffffff
62,Drama,Corrosion of third degree of right upper arm,http://dummyimage.com/190x100.png/ff4444/ffffff
63,Drama,Unspecified foreign body in pharynx,http://dummyimage.com/162x100.png/cc0000/ffffff
64,Documentary,"Unequal limb length (acquired), left fibula",http://dummyimage.com/111x100.png/5fa2dd/ffffff
65,Comedy|Drama,"Unsp injury of fallopian tube, unilateral, init encntr",http://dummyimage.com/198x100.png/cc0000/ffffff
66,Animation|Sci-Fi,"Traumatic subcutaneous emphysema, initial encounter",http://dummyimage.com/207x100.png/cc0000/ffffff
67,Drama|Horror,"Skateboarder colliding with stationary object, init encntr",http://dummyimage.com/176x100.png/5fa2dd/ffffff
68,Crime|Drama,Ambulatory surgery center as place,http://dummyimage.com/112x100.png/cc0000/ffffff
69,Documentary,"Nondisp intartic fracture of r calcaneus, init for opn fx",http://dummyimage.com/203x100.png/dddddd/000000
70,Drama,"Abnormality of plasma protein, unspecified",http://dummyimage.com/148x100.png/5fa2dd/ffffff
71,Comedy,"Poisoning by peripheral vasodilators, assault, subs encntr",http://dummyimage.com/192x100.png/5fa2dd/ffffff
72,Comedy|Drama,"Poisoning by histamine H2-receptor blockers, undet, sequela",http://dummyimage.com/240x100.png/cc0000/ffffff
73,Mystery,Sucked into jet engine,http://dummyimage.com/171x100.png/ff4444/ffffff
74,Drama,"Displ oth extrartic fx unsp calcaneus, 7thG",http://dummyimage.com/174x100.png/cc0000/ffffff
75,Comedy|Drama,"Toxic effect of homologues of benzene, assault, init encntr",http://dummyimage.com/235x100.png/cc0000/ffffff
76,Horror|Thriller,Acquired stenosis of bilateral nasolacrimal duct,http://dummyimage.com/123x100.png/ff4444/ffffff
77,Drama,"Unsp physeal fx lower end of ulna, left arm, sequela",http://dummyimage.com/204x100.png/cc0000/ffffff
78,Documentary,"Disp fx of olecran pro w/o intartic extn unsp ulna, 7thM",http://dummyimage.com/161x100.png/5fa2dd/ffffff
79,Drama|Mystery|Sci-Fi|Thriller,"Other superficial bite of unsp parts of thorax, subs encntr",http://dummyimage.com/200x100.png/ff4444/ffffff
80,Documentary|Drama,"Toxic effect of venom of other snake, undetermined, sequela",http://dummyimage.com/208x100.png/dddddd/000000
81,Crime|Film-Noir|Mystery,"Burn of first deg mult sites of right wrist and hand, subs",http://dummyimage.com/240x100.png/ff4444/ffffff
82,Crime|Drama|Thriller,Nonspec elev of levels of transamns & lactic acid dehydrgnse,http://dummyimage.com/210x100.png/5fa2dd/ffffff
83,Crime|Drama|Mystery|Romance|Thriller,Underdosing of phenothiazine antipsychotics and neuroleptics,http://dummyimage.com/122x100.png/dddddd/000000
84,(no genres listed),"Person inj in clsn betw car and 2/3-whl mv, nontraf, subs",http://dummyimage.com/114x100.png/cc0000/ffffff
85,Comedy,"Acquired clawhand, unspecified hand",http://dummyimage.com/159x100.png/cc0000/ffffff
86,Action,"Torus fx lower end of unsp humerus, subs for fx w malunion",http://dummyimage.com/120x100.png/cc0000/ffffff
87,Documentary,Personal history of malignant neoplasm of tongue,http://dummyimage.com/211x100.png/ff4444/ffffff
88,Drama,"Preterm labor second tri w preterm del second tri, fetus 2",http://dummyimage.com/195x100.png/cc0000/ffffff
89,Documentary,"Car passenger injured in collision w hv veh nontraf, sequela",http://dummyimage.com/209x100.png/5fa2dd/ffffff
90,Action|Sci-Fi,Hemorrhagic detachment of retinal pigment epithelium,http://dummyimage.com/180x100.png/ff4444/ffffff
91,Horror|Sci-Fi|Thriller,"Complete traum amp at level betw knee and ankle, l low leg",http://dummyimage.com/176x100.png/5fa2dd/ffffff
92,Drama,Smith's fracture of unspecified radius,http://dummyimage.com/125x100.png/ff4444/ffffff
93,Drama|Mystery|Thriller,"Macular keratitis, right eye",http://dummyimage.com/244x100.png/ff4444/ffffff
